state,marriage_rate_per_1000_2024,divorce_rate_per_1000_2024
New South Wales,3.908536585365854,1.4059756097560974
Victoria,3.521641791044776,1.568358208955224
Queensland,1.3888888888888888,0.5827777777777777
South Australia,7.0347368421052625,2.9263157894736844
Western Australia,0.8442857142857143,0.32785714285714285
Tasmania,1.2947368421052632,0.5228070175438596
Northern Territory,6.216,4.88
Australian Capital Territory,,
